Time,BAGASSE,BIOMASS,HYDRO,OTHERS,SMALL_HYDRO,SOLAR,THER(GT),WIND
2016-01-01,22.369999999999997,8.6,11246.410000000002,0.0,700.0500000000001,22.630000000000003,446.1,0.0
2017-01-01,86.43,0.0,14033.62,0.0,580.76,192.91999999999996,2145.9,0.0
2018-01-01,92.66,0.0,13410.31,0.0,630.0699999999999,287.24,880.8100000000001,0.0
2019-01-01,112.83,0.0,14458.150000000001,0.0,730.37,338.48,1862.94,0.0
2020-01-01,99.54999999999998,0.0,14109.620000000003,0.0,857.8600000000001,343.34000000000003,629.62,0.0
2021-01-01,218.17999999999998,0.0,13757.409999999998,0.0,385.4999999999999,289.03,1601.95,0.0
2022-01-01,248.07000000000005,0.0,15647.42,0.0,350.72999999999996,328.78,0.0,0.0
