industry_sector,consumption_unit,energy_consumed,emissions_co2eq,fuel_description,fuel_type,financial_year_start_date
"Food Processing, Beverages and Tobacco",Cubic meter,9.968894127e-06,23.43659019,Gas consumed,All Gases,2012-01-01 00:00:00+05:30
Machinery,tonne,0.007988180965,32692.07031,Petroleum coke,petroleum fuels,2004-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.000488449994,1520.468506,Diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Wood and wood products,Litres,0.002170650521,7056.803223,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
Non-Ferrous Metals,K.litres,8.933563367e-05,290.4309082,Fuel oils n.e.c,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,k. litres,1.7606455e-05,54.8061409,Diesel,petroleum fuels,2008-01-01 00:00:00+05:30
Machinery,Litres,0.01496861037,48663.07813,Furnace oil,petroleum fuels,2011-01-01 00:00:00+05:30
"Pulp, Paper and Print",K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.001325899852,5953.689453,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2017-01-01 00:00:00+05:30
"Pulp, Paper and Print",Tonne,0.1900717749,770136.1875,Coal consumed,Coal and Lignite,2013-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K. litre,0.003532063682,10994.7627,Diesel,petroleum fuels,2015-01-01 00:00:00+05:30
Iron and Steel,K. litre,8.950202641e-07,2.786058426,Diesel,petroleum fuels,2013-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Litres,0.003586901817,11661.04688,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
Machinery,Tonne,0.001482419168,6006.492188,Coal consumed,Coal and Lignite,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,kwh,0.03145588545,347540.4375,Electricity purchased,Forms of energy,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,6.380704235e-06,19.64841843,Light petroleum oil,petroleum fuels,2011-01-01 00:00:00+05:30
Transport Equipment,K. litre,0.005529214162,17211.58008,High speed diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Transport Equipment,K. litre,6.041812958e-05,188.0722046,High speed diesel,petroleum fuels,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.001191180781,3468.57251,"Fuel, aviation turbine",petroleum fuels,2008-01-01 00:00:00+05:30
Chemicals & fertilisers,Cubic meter,7.440804097e-07,1.394166231,Other than petroleum gas,All gases,2012-01-01 00:00:00+05:30
"Pulp, Paper and Print",kwh,0.0,0.0,Electricity own generated,Forms of energy,2007-01-01 00:00:00+05:30
Textile and Leather,Litre,0.0002201945608,715.8543091,Furnace oil,petroleum fuels,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.0008233089411,3335.897705,Coal consumed,Coal and Lignite,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,K. Watt,0.002470804453,28448.10938,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
Machinery,k. litres,0.0007184669957,2236.475586,Diesel,petroleum fuels,2004-01-01 00:00:00+05:30
Non-specified Industry,K. litre,2.796862645e-05,86.12518311,Light petroleum oil,petroleum fuels,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,Litre,0.00535633089,17413.47656,Furnace oil,petroleum fuels,2017-01-01 00:00:00+05:30
Textile and Leather,tonne,0.0002612826065,849.4319458,Furnace oil,petroleum fuels,2005-01-01 00:00:00+05:30
Non-Ferrous Metals,K.litres,0.0005727345706,1861.964966,Fuel oils n.e.c,petroleum fuels,2010-01-01 00:00:00+05:30
Textile and Leather,tonne,0.0002841031064,1151.133911,Coal consumed,Coal and Lignite,2008-01-01 00:00:00+05:30
Transport Equipment,Litres,0.001692072954,5500.943359,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,0.0002602557652,782.8945923,Superior kerosene,petroleum fuels,2010-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",k. litres,0.001196549507,3614.458252,Kerosene,petroleum fuels,2004-01-01 00:00:00+05:30
Transport Equipment,Kwatt,0.06961135559,793388.6875,Electricity purchased,Forms of energy,2017-01-01 00:00:00+05:30
Machinery,k. litres,1.017656086e-05,30.74068832,Kerosene,petroleum fuels,2005-01-01 00:00:00+05:30
Iron and Steel,Litres,0.02564556524,83373.95313,Furnace oil,petroleum fuels,2012-01-01 00:00:00+05:30
Non-Ferrous Metals,kwh,0.001031611681,11997.64648,Electricity purchased,Forms of energy,2007-01-01 00:00:00+05:30
Textile and Leather,K.litres,0.001960511087,5922.183105,Kerosene n.e.c,petroleum fuels,2011-01-01 00:00:00+05:30
Machinery,NULL,1.127354381e-06,2.650378466,"Gas, n.e.c",All gases,2004-01-01 00:00:00+05:30
Iron and Steel,tonne,0.009915016592,40577.75391,Petroleum coke,petroleum fuels,2004-01-01 00:00:00+05:30
Textile and Leather,kwh,0.0,0.0,Electricity own generated,Forms of energy,2005-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.0007942772354,2582.201904,Furnace oil,petroleum fuels,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.0007028544896,2847.838135,Coal consumed,Coal and Lignite,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,0.001267876825,3946.702637,High speed diesel,petroleum fuels,2010-01-01 00:00:00+05:30
Textile and Leather,K. Watt,0.02027524195,233443.125,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
Machinery,Kwatt,0.03435078077,383519.6875,Electricity purchased,Forms of energy,2010-01-01 00:00:00+05:30
Textile and Leather,K. litre,0.0007909995038,2435.76416,Other light petroleum oils and light oils obtained from bituminous minerals n.e.c,petroleum fuels,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.00159791403,6539.55127,Petroleum coke,petroleum fuels,2012-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.184388292,747107.75,Coal consumed,Coal and Lignite,2010-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,0.00444916822,13849.56543,High speed diesel,petroleum fuels,2012-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.008197124116,33547.18359,Petroleum coke,petroleum fuels,2010-01-01 00:00:00+05:30
Transport Equipment,k. litres,0.0009321066318,2901.502441,High speed diesel,petroleum fuels,2007-01-01 00:00:00+05:30
Textile and Leather,K.litres,0.0009227833943,2872.480469,Diesel,petroleum fuels,2012-01-01 00:00:00+05:30
Wood and wood products,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,4.907116829e-05,582.1118164,Electricity purchased,Forms of energy,2005-01-01 00:00:00+05:30
Chemicals & fertilisers,k. litres,0.001707180287,5156.937988,Kerosene,petroleum fuels,2005-01-01 00:00:00+05:30
Chemicals & fertilisers,k. litres,1.963798786e-05,61.12998962,High speed diesel,petroleum fuels,2006-01-01 00:00:00+05:30
Chemicals & fertilisers,Kg,0.01974141039,52197.23438,Liquidified petroleum gas (LPG),Petroleum fuels,2016-01-01 00:00:00+05:30
Machinery,Litre,0.001198209822,3895.390137,Furnace oil,Petroleum fuels,2017-01-01 00:00:00+05:30
Transport Equipment,Litre,0.00972351525,31611.23047,Furnace oil,petroleum fuels,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,k. litres,5.962096475e-05,185.590744,High speed diesel,petroleum fuels,2008-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2013-01-01 00:00:00+05:30
Wood and wood products,Tonne,8.771539433e-05,355.4067688,Coal consumed,Coal and Lignite,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.003682500916,16496.53125,"Briquettes, coal, coal dust",Coal,2015-01-01 00:00:00+05:30
Non-specified Industry,kwh,0.0,0.0,Electricity own generated,Forms of energy,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.004462023554,18079.30664,Coal consumed,Coal and Lignite,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,5.319714091e-06,17.2944355,Fuel oils n.e.c,petroleum fuels,2012-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.003814796451,15612.26465,Petroleum coke,petroleum fuels,2017-01-01 00:00:00+05:30
Machinery,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.05477814376,224182.5781,Petroleum coke,petroleum fuels,2014-01-01 00:00:00+05:30
Iron and Steel,kwh,0.02331368296,276560.9688,Electricity purchased,Forms of energy,2004-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K. litre,0.006487685256,20195.15039,Diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.0002591963566,782.9633789,Kerosene n.e.c,petroleum fuels,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,4.769670704e-05,155.0623932,Furnace oil,petroleum fuels,2009-01-01 00:00:00+05:30
Textile and Leather,Kwatt,0.01861350293,212145.5938,Electricity purchased,Forms of energy,2015-01-01 00:00:00+05:30
Iron and Steel,k. litres,1.561774479e-05,48.6156044,Diesel,petroleum fuels,2005-01-01 00:00:00+05:30
Machinery,Cubic meter,5.432678041e-07,1.277207375,Gas consumed,Natural gas,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,kwh,0.02688260569,315771.2188,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
Non-Ferrous Metals,Cubic meter,6.745384553e-07,1.585820913,Gas consumed,Natural gas,2017-01-01 00:00:00+05:30
Machinery,tonne,0.005803136621,23749.65625,Petroleum coke,petroleum fuels,2005-01-01 00:00:00+05:30
Textile and Leather,K.litres,0.001930447062,5831.367676,Kerosene n.e.c,petroleum fuels,2010-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,8.86263515e-05,267.7166748,Kerosene n.e.c,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,0.006542157515,72281.04688,Electricity purchased,Forms of energy,2009-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",kwh,0.02046377574,240373.7188,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
Wood and wood products,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2011-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.02528549358,102452.2031,Coal consumed,Coal and Lignite,2017-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0002438317169,997.8947144,Petroleum coke calcined,petroleum fuels,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.0007999528898,2600.653564,Furnace oil,petroleum fuels,2006-01-01 00:00:00+05:30
Machinery,K.litres,1.032185764e-06,3.117959023,Kerosene,petroleum fuels,2011-01-01 00:00:00+05:30
"Pulp, Paper and Print",k. litres,0.006674906705,20163.11914,Kerosene,petroleum fuels,2007-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Tonne,1.984206938e-05,81.20476532,Petroleum coke,petroleum fuels,2010-01-01 00:00:00+05:30
Wood and wood products,kwh,0.0,0.0,Electricity own generated,Forms of energy,2006-01-01 00:00:00+05:30
Textile and Leather,kwh,0.0,0.0,Electricity own generated,Forms of energy,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,0.003088074736,9612.694336,Diesel,petroleum fuels,2010-01-01 00:00:00+05:30
Non-specified Industry,Cubic meter,1.188419508e-05,27.93940926,Gas consumed,Natural gas,2010-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,6.24665617e-08,0.2556478381,Petroleum coke,petroleum fuels,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.01418602653,46118.89063,Furnace oil,petroleum fuels,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,6.291309091e-06,20.4530983,Furnace oil,petroleum fuels,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,8.386607988e-06,34.32265472,Petroleum coke,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.003919080831,43755.76563,Electricity purchased,Forms of energy,2010-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.004632694108,18770.83203,Coal consumed,Coal and Lignite,2015-01-01 00:00:00+05:30
Machinery,Tonne,0.0002078084217,850.4674683,Petroleum coke calcined,petroleum fuels,2012-01-01 00:00:00+05:30
Wood and wood products,Kwatt,0.009048079452,101020.0234,Electricity purchased,Forms of energy,2010-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,0.0001237034739,506.2632446,Petroleum coke calcined,petroleum fuels,2008-01-01 00:00:00+05:30
Transport Equipment,k. litres,4.34695221e-06,13.53138351,High speed diesel,petroleum fuels,2004-01-01 00:00:00+05:30
Wood and wood products,tonne,0.0007494626334,3036.685791,Coal consumed,Coal and Lignite,2007-01-01 00:00:00+05:30
"Pulp, Paper and Print",kwh,0.0,0.0,Electricity own generated,Forms of energy,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.04666278884,190970.0313,Petroleum coke,petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.0009351349436,2722.998779,"Fuel, aviation turbine",petroleum fuels,2006-01-01 00:00:00+05:30
Iron and Steel,Cubic meter,5.110897487e-06,12.01557636,Gas consumed,All Gases,2011-01-01 00:00:00+05:30
Chemicals & fertilisers,Kg,0.0002832525061,665.9187012,"Gas, n.e.c",All gases,2015-01-01 00:00:00+05:30
Machinery,tonne,0.0002657879353,1076.924194,Coal consumed,Coal and Lignite,2008-01-01 00:00:00+05:30
Machinery,Litre,0.0001932810555,628.3583374,Furnace oil,Petroleum fuels,2015-01-01 00:00:00+05:30
Transport Equipment,tonne,0.0001071223815,438.4042664,Petroleum coke calcined,Petroleum fuels,2009-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.0003606622922,1050.20459,"Fuel, aviation turbine",petroleum fuels,2009-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,4.672487194e-06,15.19029427,Fuel oils n.e.c,petroleum fuels,2013-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0003785020963,1549.040771,Petroleum coke calcined,petroleum fuels,2014-01-01 00:00:00+05:30
Iron and Steel,tonne,0.004610290789,18680.05664,Coal consumed,Coal and Lignite,2009-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Litre,1.551253206e-07,0.5043137074,Furnace oil,petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,Cubic meter,1.270551026e-05,29.87029839,Gas consumed,All Gases,2012-01-01 00:00:00+05:30
Iron and Steel,tonne,6.442372182e-07,2.636576176,Petroleum coke calcined,petroleum fuels,2006-01-01 00:00:00+05:30
Transport Equipment,Cubic meter,6.132238449e-06,14.41672039,Gas consumed,Natural gas,2010-01-01 00:00:00+05:30
Wood and wood products,Kwatt,0.01691799479,192821.2031,Electricity purchased,Forms of energy,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,1.076143053e-05,33.1382103,Light petroleum oil,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,K. litre,4.456677743e-06,14.48869705,Fuel oils n.e.c,petroleum fuels,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.1586941974,643000.0,Coal consumed,Coal and Lignite,2014-01-01 00:00:00+05:30
Iron and Steel,Litre,0.002236105734,7269.598633,Furnace oil,petroleum fuels,2017-01-01 00:00:00+05:30
"Pulp, Paper and Print",Tonne,0.04452810064,182233.7031,Petroleum coke calcined,petroleum fuels,2012-01-01 00:00:00+05:30
Chemicals & fertilisers,k. litres,0.002713278169,8446.011719,Diesel,petroleum fuels,2007-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.0005938552204,1848.578613,Diesel,petroleum fuels,2006-01-01 00:00:00+05:30
Transport Equipment,k. litres,0.000122186073,380.3461609,High speed diesel,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,3.553560418e-06,11.06167889,High speed diesel,petroleum fuels,2011-01-01 00:00:00+05:30
Textile and Leather,K. litre,0.0004553893523,1375.610229,Kerosene,petroleum fuels,2013-01-01 00:00:00+05:30
Transport Equipment,K. litre,0.006354859564,19568.83398,Other light petroleum oils and light oils obtained from bituminous minerals n.e.c,petroleum fuels,2017-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K. Watt,0.06663142321,751675.9375,Electricity purchased,Forms of energy,2011-01-01 00:00:00+05:30
Chemicals & fertilisers,Kg,0.01547524519,40917.28906,Liquidified petroleum gas (LPG),Petroleum fuels,2017-01-01 00:00:00+05:30
Transport Equipment,tonne,9.808071627e-05,318.8612366,Furnace oil,petroleum fuels,2007-01-01 00:00:00+05:30
Chemicals & fertilisers,Kg,0.00019801913,523.5720215,Liquidified petroleum gas (LPG),Petroleum fuels,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,1.172962349e-08,0.03651248664,Diesel,petroleum fuels,2004-01-01 00:00:00+05:30
Transport Equipment,tonne,3.742087756e-06,15.31470108,Petroleum coke calcined,petroleum fuels,2005-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,6.125688378e-05,250.6971893,Petroleum coke calcined,petroleum fuels,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,0.0,0.0,Electricity own generated,Forms of energy,2008-01-01 00:00:00+05:30
Textile and Leather,kwh,0.006646349039,77297.0625,Electricity purchased,Forms of energy,2007-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,0.0001364236814,558.3214722,Petroleum coke calcined,petroleum fuels,2015-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Tonne,0.0005031803739,2243.356934,"Peat, n.e.c.",Coal and Lignite,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,Kwatt,0.02723560224,310415.125,Electricity purchased,Forms of energy,2016-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,4.705324318e-05,146.4693909,Diesel,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,8.717438504e-07,2.684404135,"Medium petroleum oil, n.e.c.",petroleum fuels,2017-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Tonne,0.002744084937,11118.53223,Coal consumed,Coal and Lignite,2017-01-01 00:00:00+05:30
Non-specified Industry,Litre,0.0007706760662,2505.474365,Furnace oil,Petroleum fuels,2014-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,4.415526291e-06,14.35491371,Furnace oil,petroleum fuels,2006-01-01 00:00:00+05:30
"Pulp, Paper and Print",K. Watt,0.0399009029,459407.1563,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
"Pulp, Paper and Print",Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2016-01-01 00:00:00+05:30
Non-Metallic Minerals,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2013-01-01 00:00:00+05:30
Machinery,Tonne,0.0001152682235,467.0458374,Coal consumed,Coal and Lignite,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,Litres,0.003128764918,10171.6416,Furnace oil,petroleum fuels,2011-01-01 00:00:00+05:30
Textile and Leather,Cubic meter,1.834049925e-07,0.4309419394,Gas consumed,Natural gas,2008-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,5.91526657e-07,2.420855284,Petroleum coke calcined,petroleum fuels,2006-01-01 00:00:00+05:30
Machinery,K. litre,1.842578786e-05,59.90238953,Fuel oils n.e.c,petroleum fuels,2016-01-01 00:00:00+05:30
Textile and Leather,Litre,0.001634508837,5313.802246,Furnace oil,petroleum fuels,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,k. litres,0.002316803904,7211.848145,Diesel,petroleum fuels,2005-01-01 00:00:00+05:30
Textile and Leather,kwh,0.0005377015598,6378.540039,Electricity purchased,Forms of energy,2004-01-01 00:00:00+05:30
Non-Ferrous Metals,Litre,2.664112253e-05,86.61051941,Furnace oil,petroleum fuels,2015-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Litre,2.297208823e-07,0.7468245029,Furnace oil,petroleum fuels,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.003935896792,17631.67188,"Briquettes, coal, coal dust",Coal,2016-01-01 00:00:00+05:30
Machinery,Tonne,0.0001376722066,563.4310303,Petroleum coke calcined,petroleum fuels,2011-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
Textile and Leather,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2014-01-01 00:00:00+05:30
Machinery,K. litre,9.186163516e-05,285.9509277,High speed diesel,petroleum fuels,2014-01-01 00:00:00+05:30
Wood and wood products,kwh,0.00351885397,41333.52344,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Litre,0.0002233256091,726.0334473,Furnace oil,petroleum fuels,2015-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,0.0001716938423,558.1781006,Furnace oil,petroleum fuels,2008-01-01 00:00:00+05:30
Machinery,K. litre,0.0003790870833,1103.855225,"Fuel, aviation turbine",petroleum fuels,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,Litre,0.000114929695,373.6373901,Furnace oil,Petroleum fuels,2015-01-01 00:00:00+05:30
Transport Equipment,Kwatt,0.03275376052,365689.2813,Electricity purchased,Forms of energy,2010-01-01 00:00:00+05:30
Transport Equipment,kwh,0.0,0.0,Electricity own generated,Forms of energy,2004-01-01 00:00:00+05:30
Transport Equipment,K.litres,0.0008651711396,2664.164551,Light petroleum oil,petroleum fuels,2011-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.01101666223,44637.50391,Coal consumed,Coal and Lignite,2013-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,0.001504978514,6159.20752,Petroleum coke calcined,petroleum fuels,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,0.0,0.0,Electricity own generated,Forms of energy,2004-01-01 00:00:00+05:30
Iron and Steel,tonne,5.382995732e-05,218.1091614,Coal consumed,Coal and Lignite,2004-01-01 00:00:00+05:30
Machinery,Litre,0.000687947555,2236.523193,Furnace oil,Petroleum fuels,2017-01-01 00:00:00+05:30
Iron and Steel,tonne,0.003613017732,14786.47363,Petroleum coke calcined,petroleum fuels,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.0002204889752,678.9626465,Other light petroleum oils and light oils obtained from bituminous minerals n.e.c,petroleum fuels,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,9.692158346e-05,301.7017517,Diesel,petroleum fuels,2007-01-01 00:00:00+05:30
Machinery,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,1.736390573e-06,5.22336483,Superior kerosene,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,K. litre,1.432156349e-08,0.04458079487,Diesel,petroleum fuels,2014-01-01 00:00:00+05:30
Non-specified Industry,kwh,0.0128941163,149958.6094,Electricity purchased,Forms of energy,2007-01-01 00:00:00+05:30
Chemicals & fertilisers,K. Watt,0.07480959583,861335.5,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,8.466872146e-07,2.635604858,High speed diesel,petroleum fuels,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,7.001422375e-08,0.2179433554,Diesel,petroleum fuels,2007-01-01 00:00:00+05:30
Iron and Steel,Cubic meter,0.00192797217,4530.105957,Gas consumed,Natural gas,2008-01-01 00:00:00+05:30
Non-specified Industry,tonne,0.0002813771935,1140.089111,Coal consumed,Coal and Lignite,2007-01-01 00:00:00+05:30
Textile and Leather,K.litres,0.0008893695776,2768.468506,Diesel,petroleum fuels,2011-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,0.007813579403,23602.74805,Kerosene,petroleum fuels,2012-01-01 00:00:00+05:30
Machinery,kwh,0.0,0.0,Electricity own generated,Forms of energy,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,8.143725609e-06,26.47531891,Fuel oils n.e.c,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,k. litres,4.675655146e-05,141.2391205,Kerosene,petroleum fuels,2005-01-01 00:00:00+05:30
Transport Equipment,K. litre,0.03711654991,114294.8281,Other light petroleum oils and light oils obtained from bituminous minerals n.e.c,petroleum fuels,2016-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,3.31477022e-05,135.6587982,Petroleum coke calcined,petroleum fuels,2012-01-01 00:00:00+05:30
"Pulp, Paper and Print",Cubic meter,2.509248656e-05,58.99172974,Gas consumed,Natural gas,2014-01-01 00:00:00+05:30
Non-specified Industry,Cubic meter,1.122558042e-06,2.639102221,Gas consumed,Natural gas,2017-01-01 00:00:00+05:30
Transport Equipment,K. litre,0.0025672107,7905.339844,Other light petroleum oils and light oils obtained from bituminous minerals n.e.c,petroleum fuels,2014-01-01 00:00:00+05:30
Machinery,,9.198672046e-07,2.162581921,"Gas, n.e.c",All gases,2005-01-01 00:00:00+05:30
Iron and Steel,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
Machinery,,2.61493426e-07,0.6147636175,"Gas, n.e.c",All gases,2009-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.001077077352,2018.094971,Coke breeze,Coal & Lignite Products,2014-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Litres,0.01539792679,50058.78906,Furnace oil,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Ferrous Metals,Litre,0.000126561863,411.4536743,Furnace oil,petroleum fuels,2016-01-01 00:00:00+05:30
Machinery,K. litre,0.001762337401,5729.373535,Fuel oils n.e.c,petroleum fuels,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,8.752655413e-05,358.2072449,Petroleum coke calcined,petroleum fuels,2004-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.000709182641,2065.052979,"Fuel, aviation turbine",petroleum fuels,2006-01-01 00:00:00+05:30
Iron and Steel,K.litres,7.258820551e-05,235.9848785,Fuel oils n.e.c,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.03839362785,157128.0469,Petroleum coke,petroleum fuels,2008-01-01 00:00:00+05:30
Iron and Steel,Tonne,9.936772403e-05,406.6678772,Petroleum coke calcined,petroleum fuels,2013-01-01 00:00:00+05:30
Transport Equipment,kwh,0.01824067132,201532.1094,Electricity purchased,Forms of energy,2009-01-01 00:00:00+05:30
Iron and Steel,tonne,0.01851126365,75758.36719,Petroleum coke,petroleum fuels,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,4.150133464e-05,120.8468094,Spirit type (gasolene type) jet fuel,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,0.003826878098,45396.73438,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Iron and Steel,Cubic meter,3.007892133e-07,0.7071469426,Gas consumed,All gases,2013-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Litre,0.01041403692,33856.12109,Furnace oil,petroleum fuels,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,Kwatt,0.07521884823,857299.5,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,3.666167004e-06,11.0745163,Kerosene n.e.c,petroleum fuels,2011-01-01 00:00:00+05:30
Non-specified Industry,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2011-01-01 00:00:00+05:30
