industry_sector,consumption_unit,energy_consumed,emissions_co2eq,fuel_description,fuel_type,financial_year_start_date
Non-Ferrous Metals,Tonne,0.002093870891,8569.282227,Petroleum coke,petroleum fuels,2016-01-01 00:00:00+05:30
Machinery,tonne,0.05917421728,192375.875,Furnace oil,petroleum fuels,2009-01-01 00:00:00+05:30
Wood and wood products,K. Watt,0.01380242505,157311.7969,Electricity purchased,Forms of energy,2013-01-01 00:00:00+05:30
Non-specified Industry,K. litre,0.0002931724885,881.9137573,Superior kerosene,petroleum fuels,2016-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.0002068136528,643.7786255,High speed diesel,petroleum fuels,2007-01-01 00:00:00+05:30
Non-specified Industry,Kg,0.02380579151,62943.65234,Liquidified petroleum gas (LPG),Petroleum fuels,2015-01-01 00:00:00+05:30
"Pulp, Paper and Print",tonne,0.1043830533,422941.0938,Coal consumed,Coal and Lignite,2004-01-01 00:00:00+05:30
Wood and wood products,tonne,0.001456688391,4735.706055,Furnace oil,petroleum fuels,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.0002915430232,848.9376221,"Fuel, aviation turbine",petroleum fuels,2004-01-01 00:00:00+05:30
Non-specified Industry,K. litre,0.003369340906,10953.75586,Fuel oils n.e.c,petroleum fuels,2017-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Cubic meter,6.692533987e-06,15.7339592,Gas consumed,All Gases,2011-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,2.57614488e-06,10.54301453,Petroleum coke calcined,petroleum fuels,2004-01-01 00:00:00+05:30
Non-Ferrous Metals,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Litre,0.005956168752,19363.55469,Furnace oil,petroleum fuels,2013-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Tonne,2.387412223e-06,9.770616531,Petroleum coke calcined,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,Litres,0.01517052762,49319.51172,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.001014654525,4556.104492,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2016-01-01 00:00:00+05:30
Textile and Leather,K.litres,6.482176832e-05,210.7361298,Fuel oils n.e.c,petroleum fuels,2012-01-01 00:00:00+05:30
Non-Ferrous Metals,Litre,0.0005863422994,1906.203613,Furnace oil,petroleum fuels,2013-01-01 00:00:00+05:30
Machinery,K.litres,0.000568332558,1654.914917,"Fuel, aviation turbine",petroleum fuels,2010-01-01 00:00:00+05:30
"Pulp, Paper and Print",Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2010-01-01 00:00:00+05:30
Textile and Leather,kwh,0.0141831501,166599.5781,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
